98107,50192
98107,51403
97816,51403
97816,52648
98404,52648
98404,53825
97715,53825
97715,55038
97649,55038
97649,56313
98041,56313
98041,57420
97175,57420
97175,58579
96790,58579
96790,59854
97000,59854
97000,60991
96518,60991
96518,62292
96707,62292
96707,63299
95787,63299
95787,64633
95996,64633
95996,65671
95257,65671
95257,66805
94824,66805
94824,68064
94703,68064
94703,69040
93885,69040
93885,70033
93144,70033
93144,71442
93273,71442
93273,72223
92132,72223
92132,73626
92168,73626
92168,74530
91292,74530
91292,75470
90502,75470
90502,76416
89735,76416
89735,77334
88939,77334
88939,78456
88429,78456
88429,79755
88124,79755
88124,80206
86743,80206
86743,81651
86572,81651
86572,82637
85835,82637
85835,83550
85013,83550
85013,84208
83935,84208
83935,85223
83215,85223
83215,85505
81820,85505
81820,86396
80992,86396
80992,87581
80394,87581
80394,87810
79026,87810
79026,88858
78295,88858
78295,89626
77345,89626
77345,90479
76446,90479
76446,90760
75180,90760
75180,91580
74253,91580
74253,91749
72954,91749
72954,92987
72236,92987
72236,92764
70765,92764
70765,93388
69726,93388
69726,94574
68917,94574
68917,94680
67640,94680
67640,95382
66601,95382
66601,95646
65398,95646
65398,95949
64215,95949
64215,95773
62899,95773
62899,96533
61849,96533
61849,96742
60649,96742
60649,96781
59418,96781
59418,97093
58246,97093
58246,97486
57080,97486
57080,97991
55917,97991
55917,97935
54680,97935
54680,97953
53458,97953
53458,98064
52244,98064
52244,97870
51021,97870
51021,98482
49806,98482
49806,97943
48593,97943
48593,97538
47398,97538
47398,98218
46133,98218
46133,97704
44956,97704
44956,97150
43803,97150
43803,97022
42603,97022
42603,97296
41327,97296
41327,97133
40117,97133
40117,97002
38894,97002
38894,96124
37860,96124
37860,96328
36542,96328
36542,95555
35506,95555
35506,95187
34352,95187
34352,95215
33048,95215
33048,94803
31894,94803
31894,93668
31053,93668
31053,93616
29747,93616
29747,92979
28703,92979
28703,92337
27668,92337
27668,92289
26305,92289
26305,91414
25397,91414
25397,90393
24597,90393
24597,89829
23521,89829
23521,88999
22623,88999
22623,88490
21498,88490
21498,87464
20759,87464
20759,87311
19326,87311
19326,86286
18596,86286
18596,85462
17702,85462
17702,84371
17064,84371
17064,83881
15846,83881
15846,83261
14727,83261
14727,82278
13983,82278
13983,80939
13667,80939
13667,80408
12401,80408
12401,79459
11625,79459
11625,78483
10883,78483
10883,77211
10568,77211
10568,76057
10115,76057
10115,75452
8799,75452
8799,74402
8164,74402
8164,73202
7800,73202
7800,72060
7352,72060
7352,70898
6961,70898
6961,69773
6506,69773
6506,68930
5395,68930
5395,67756
5026,67756
5026,66423
5105,66423
5105,65220
4882,65220
4882,64148
4266,64148
4266,62985
3923,62985
